iter	MultiClass
0	1.02741322
1	0.9678216716
2	0.90526547
3	0.8480932075
4	0.7967948357
5	0.748282409
6	0.7160665275
7	0.6759080722
8	0.643846913
9	0.6197598162
10	0.5904238582
11	0.5628502592
12	0.5382914138
13	0.5126248815
14	0.4859367446
15	0.4640053141
16	0.4461737014
17	0.4287895184
18	0.4119221396
19	0.3943828068
20	0.3800724917
21	0.3693490364
22	0.3561709032
23	0.3431766943
24	0.3364702057
25	0.3269327656
26	0.3154796933
27	0.3069555214
28	0.2952573808
29	0.2872831741
30	0.2786859262
31	0.2722356703
32	0.2639500982
33	0.2579969774
34	0.2505894855
35	0.2450708097
36	0.2380521449
37	0.2316099055
38	0.2273070339
39	0.2229796289
40	0.2174095519
41	0.2120185269
42	0.2059827615
43	0.2012984051
44	0.1975455861
45	0.1934882467
46	0.1897828437
47	0.1852947741
48	0.1817854776
49	0.1789338758
50	0.1745706668
51	0.1711874406
52	0.1679883635
53	0.1644971194
54	0.1620366718
55	0.1592714276
56	0.1575162834
57	0.1552055369
58	0.1533317681
59	0.1511415271
60	0.1486193927
61	0.1468293416
62	0.144569692
63	0.1426234477
64	0.1403618685
65	0.1388065063
66	0.1366390865
67	0.1345938102
68	0.132944154
69	0.1308421234
70	0.1279421821
71	0.1260275595
72	0.1245235883
73	0.1224282026
74	0.1200033478
75	0.1184030217
76	0.1167299883
77	0.1152640241
78	0.1138662624
79	0.1124868237
80	0.1101995212
81	0.1086747742
82	0.1065169619
83	0.1054331353
84	0.1036361436
85	0.1024152401
86	0.1012375647
87	0.1002255994
88	0.0995239002
89	0.09774925794
90	0.0961488702
91	0.09502177214
92	0.09388565211
93	0.09277074368
94	0.09145662966
95	0.09029232872
96	0.08914349765
97	0.08787284376
98	0.08632807704
99	0.08532123374
100	0.08435957178
101	0.08312288849
102	0.08226974083
103	0.08103601211
104	0.08029934967
105	0.07947921501
106	0.07831307898
107	0.07744592544
108	0.07652664055
109	0.07560809057
110	0.07480739933
111	0.07361517059
112	0.07249579233
113	0.07149926817
114	0.07070194058
115	0.07012160121
116	0.06947662816
117	0.06872800123
118	0.06799622242
119	0.06720258276
120	0.06654678919
121	0.06592012847
122	0.06533343324
123	0.06468610828
124	0.06410988856
125	0.0635084301
126	0.06278655936
127	0.06203722959
128	0.06137501491
129	0.06078578954
130	0.06032210787
131	0.0598341264
132	0.0589583465
133	0.05859155424
134	0.05811982486
135	0.05760428787
136	0.05709575355
137	0.05653131939
138	0.05591614125
139	0.05545980744
140	0.05493043888
141	0.05448923487
142	0.05403625947
143	0.05333203244
144	0.05292908469
145	0.05245958742
146	0.05202603238
147	0.05167785741
148	0.05138861242
149	0.05095093422
150	0.05064908416
151	0.05017581339
152	0.04987952183
153	0.0495317037
154	0.0492289523
155	0.04891368262
156	0.04841408872
157	0.04806165469
158	0.0477253304
159	0.04736575759
160	0.04700083903
161	0.0467240855
162	0.04640514195
163	0.04606019825
164	0.04581859961
165	0.04541543437
166	0.04518972069
167	0.04492027304
168	0.04464905771
169	0.04439867717
170	0.04405220112
171	0.04374143672
172	0.04338210316
173	0.04311948319
174	0.04276533808
175	0.04253099493
176	0.04218417733
177	0.04189099935
178	0.04162229287
179	0.04134286449
180	0.04107079213
181	0.04075984248
182	0.04036832314
183	0.0400646106
184	0.03987647463
185	0.03958202316
186	0.03934662313
187	0.03905646566
188	0.03881209315
189	0.03859448019
190	0.03834821615
191	0.03813319447
192	0.03784189686
193	0.03763138682
194	0.03745350434
195	0.03721504789
196	0.03695573742
197	0.03675395261
198	0.03657748177
199	0.03625328475
